Time,Crime,latitude,longitude
01/01/2021,DOMESTIC VIOLENCE,19.1981534557968,-99.0262770702206
01/01/2021,DOMESTIC VIOLENCE,19.1930265034134,-99.095005990107
01/01/2021,DOMESTIC VIOLENCE,19.3369633908295,-99.1522650297544
01/01/2021,DOMESTIC VIOLENCE,19.5615245287003,-99.1465900500469
01/01/2021,DOMESTIC VIOLENCE,19.3950447689741,-99.0610596397823
01/01/2021,DOMESTIC VIOLENCE,19.3724193876616,-99.1393113395921
01/01/2021,DOMESTIC VIOLENCE,19.4551983760459,-99.141544029594
01/01/2021,DOMESTIC VIOLENCE,19.3761166411133,-99.2340588599105
01/01/2021,DOMESTIC VIOLENCE,19.3782774135184,-99.0743420299178
01/01/2021,DOMESTIC VIOLENCE,19.4851610918509,-99.0866330295608
01/01/2021,DOMESTIC VIOLENCE,19.4569785719404,-99.109235550318
01/01/2021,DOMESTIC VIOLENCE,19.2860237210962,-99.172791409988
01/01/2021,DOMESTIC VIOLENCE,19.3792378477083,-99.1602658296164
01/01/2021,DOMESTIC VIOLENCE,19.2053402227806,-99.1294654501818
01/01/2021,DOMESTIC VIOLENCE,19.4492495818242,-99.1621129698648
01/01/2021,DOMESTIC VIOLENCE,19.2075811785162,-99.0693301003545
01/01/2021,DOMESTIC VIOLENCE,19.4448148935357,-99.1236582399096
01/01/2021,DOMESTIC VIOLENCE,19.2926234886184,-99.2474998495759
01/01/2021,DOMESTIC VIOLENCE,19.4772790160374,-99.2029016501762
01/01/2021,DOMESTIC VIOLENCE,19.3027014239418,-99.2080092402697
01/01/2021,DOMESTIC VIOLENCE,19.3254307264443,-99.0401358200782
01/01/2021,DOMESTIC VIOLENCE,19.3198235219358,-99.1697601696825
01/01/2021,DOMESTIC VIOLENCE,19.3221214014592,-99.1691565503032
01/01/2021,DOMESTIC VIOLENCE,19.3102779855335,-99.0747292000546
01/01/2021,SEXUAL ABUSE,19.5640137493484,-99.1357701997541
01/01/2021,DOMESTIC VIOLENCE,19.4776579238678,-99.1607523897791
01/01/2021,DOMESTIC VIOLENCE,19.3076502935115,-99.2707331502104
01/01/2021,DOMESTIC VIOLENCE,19.2594275201295,-99.0404093702915
01/01/2021,DOMESTIC VIOLENCE,19.4425695211915,-99.1441916697887
02/01/2021,SEXUAL ABUSE,19.3374873327983,-99.1228088702222
01/01/2021,DOMESTIC VIOLENCE,19.2267294428733,-99.2075424601589
02/01/2021,DOMESTIC VIOLENCE,19.35362952326,-99.0538500602768
01/01/2021,DOMESTIC VIOLENCE,19.3749982377464,-99.2063878503445
02/01/2021,SEXUAL ABUSE,19.4438515998957,-99.1385146395604
01/01/2021,DOMESTIC VIOLENCE,19.416914999173,-99.1428221804277
01/01/2021,SEXUAL HARASSMENT,19.2601148800552,-99.0423265100611
01/01/2021,DOMESTIC VIOLENCE,19.3472876562033,-99.0114963103953
02/01/2021,DOMESTIC VIOLENCE,19.2641153597272,-99.100026639577
02/01/2021,SEXUAL ABUSE,19.3750717914046,-99.2276456995895
02/01/2021,DOMESTIC VIOLENCE,19.2710852057805,-99.0080420796017
02/01/2021,DOMESTIC VIOLENCE,19.4992750920982,-99.0905061402828
02/01/2021,DOMESTIC VIOLENCE,19.3259460068825,-99.2458148997119
02/01/2021,DOMESTIC VIOLENCE,19.3827283209462,-99.0502515397009
01/01/2021,DOMESTIC VIOLENCE,19.4509176306391,-99.1438253199312
01/01/2021,DOMESTIC VIOLENCE,19.2694763907603,-99.1560330197334
01/01/2021,DOMESTIC VIOLENCE,19.5607967199893,-99.1342216703198
01/01/2021,DOMESTIC VIOLENCE,19.2589541861162,-99.1667914704548
01/01/2021,DOMESTIC VIOLENCE,19.2197367813564,-99.0947321797707
01/01/2021,SEXUAL ABUSE,19.2305725412392,-99.1658692402631
02/01/2021,DOMESTIC VIOLENCE,19.3022331064273,-99.2348988403338
01/01/2021,SEXUAL ABUSE,19.2988858418008,-99.2293900298134
02/01/2021,DOMESTIC VIOLENCE,19.4496351301971,-99.0960933299948
02/01/2021,DOMESTIC VIOLENCE,19.4132051260285,-99.1440224603817
02/01/2021,DOMESTIC VIOLENCE,19.3723378934878,-99.1625919603102
01/01/2021,DOMESTIC VIOLENCE,19.3624599069814,-99.0537310800399
02/01/2021,DOMESTIC VIOLENCE,19.2853919415797,-99.0678709697431
02/01/2021,DOMESTIC VIOLENCE,19.4392230169252,-99.1737400898982
02/01/2021,DOMESTIC VIOLENCE,19.4872259279614,-99.1377393004152
03/01/2021,DOMESTIC VIOLENCE,19.439863275328,-99.141404090284
03/01/2021,DOMESTIC VIOLENCE,19.3942858120684,-99.1093298802808
02/01/2021,DOMESTIC VIOLENCE,19.4360306729685,-99.085785450124
03/01/2021,DOMESTIC VIOLENCE,19.4732939682065,-99.0871962897256
03/01/2021,DOMESTIC VIOLENCE,19.4732939682065,-99.0871962897256
03/01/2021,DOMESTIC VIOLENCE,19.3258043182983,-99.1681560899859
03/01/2021,SEXUAL ABUSE,19.3146810612048,-99.0713775202303
02/01/2021,DOMESTIC VIOLENCE,19.3295753188228,-99.0208055796172
02/01/2021,DOMESTIC VIOLENCE,19.3295753188228,-99.0208055796172
02/01/2021,AGAINST SEXUAL INTIMACY,19.2496630994704,-99.1769056795425
02/01/2021,DOMESTIC VIOLENCE,19.3181778480811,-99.2630951100703
03/01/2021,DOMESTIC VIOLENCE,19.3646820211036,-99.1330388198081
03/01/2021,DOMESTIC VIOLENCE,19.3646820211036,-99.1330388198081
01/01/2021,DOMESTIC VIOLENCE,19.3378263024423,-99.1230274700549
03/01/2021,DOMESTIC VIOLENCE,19.5066754590484,-99.2043855799174
01/01/2021,DOMESTIC VIOLENCE,19.2850436680639,-99.0564172702063
03/01/2021,DOMESTIC VIOLENCE,19.33111425161,-98.970576080454
03/01/2021,DOMESTIC VIOLENCE,19.5067877208345,-99.2043594304497
03/01/2021,DOMESTIC VIOLENCE,19.3361136953956,-98.9792874499622
03/01/2021,SEXUAL ABUSE,19.4822661663174,-99.1378694795854
03/01/2021,DOMESTIC VIOLENCE,19.3897064339547,-99.0836504096946
02/01/2021,DOMESTIC VIOLENCE,19.3937492037117,-99.2073773602722
03/01/2021,DOMESTIC VIOLENCE,19.3349173354762,-99.3298337098254
02/01/2021,DOMESTIC VIOLENCE,19.2070317932816,-99.1593199998248
03/01/2021,DOMESTIC VIOLENCE,19.2530196408951,-99.1257302496637
01/01/2021,AGAINST SEXUAL INTIMACY,19.4721349977731,-99.1769883802685
01/01/2021,DOMESTIC VIOLENCE,19.4933451036041,-99.2035615999729
02/01/2021,DOMESTIC VIOLENCE,19.2473635759561,-99.1146576098206
03/01/2021,DOMESTIC VIOLENCE,19.4813032081832,-99.1528059198653
03/01/2021,DOMESTIC VIOLENCE,19.4242415214663,-99.0605771404187
03/01/2021,DOMESTIC VIOLENCE,19.3666132307611,-99.1980792602466
03/01/2021,DOMESTIC VIOLENCE,19.3630446297713,-99.2145134196983
03/01/2021,DOMESTIC VIOLENCE,19.3325688323243,-99.1175025297463
01/01/2021,DOMESTIC VIOLENCE,19.3069651204453,-99.2698243304686
01/01/2021,DOMESTIC VIOLENCE,19.3069651204453,-99.2698243304686
03/01/2021,DOMESTIC VIOLENCE,19.321937644072,-99.2685947997076
03/01/2021,AGAINST SEXUAL INTIMACY,19.4782168221777,-99.0663445698001
03/01/2021,DOMESTIC VIOLENCE,19.4014378173968,-99.1881966602958
03/01/2021,SEXUAL ABUSE,19.3421005664375,-99.0871682199176
03/01/2021,DOMESTIC VIOLENCE,19.2616851018341,-99.0332490202569
04/01/2021,DOMESTIC VIOLENCE,19.3410207521696,-99.2085903896762
01/01/2021,DOMESTIC VIOLENCE,19.4623273800754,-99.113236960266
04/01/2021,DOMESTIC VIOLENCE,19.3409227241087,-99.0026872596758
03/01/2021,DOMESTIC VIOLENCE,19.4129252364851,-99.1486964398042
03/01/2021,DOMESTIC VIOLENCE,19.318892906041,-99.2244435800186
03/01/2021,DOMESTIC VIOLENCE,19.3874195635899,-99.1973465697304
03/01/2021,DOMESTIC VIOLENCE,19.3874195635899,-99.1973465697304
02/01/2021,DOMESTIC VIOLENCE,19.2376296835188,-99.1454999104213
